,pre_skid,post_skid,pre_node,post_node,pre_pt_position_v3,post_pt_position_v3,pre_pt_position_v4,post_pt_position_v4,pre_pt_supervoxel_id,post_pt_supervoxel_id,pre_pt_root_id,post_pt_root_id
5476,1388468,735491,18185691,18167629,[ 56380.43953488 109027.45581395   3406.        ],[ 56414.75581395 109017.           3405.        ],"[56355.379069767456, 109032.91162790699, 3406.0]","[56389.76162790699, 109021.5, 3405.0]",73961194008194587,73961194008182090,648518346421357914,648518346494774179
5477,1388489,735491,18185696,18111399,[ 58669.29069767 103031.62790698   2906.        ],[ 58722.79069767 102752.13023256   2905.        ],"[58604.331395348854, 103109.2558139535, 2906.0]","[58665.62209302326, 102823.6406976744, 2905.0]",74031356325566216,74031356325573131,648518346491133985,648518346494774179
5478,1388523,735491,18185705,18148663,[ 53512.60232558 109715.08837209   2982.        ],[ 53366.6        109698.59069767   2982.        ],"[53552.7046511628, 109765.42674418606, 2982.0]","[53405.95000000001, 109747.18139534886, 2982.0]",73890825062594343,73890825062599163,648518346504748934,648518346495293539
5479,1388544,735491,18185710,18142336,[ 60941.39534884 100071.83255814   3296.        ],[61049.17209302 99987.39069767  3296.        ],"[60899.29069767443, 100140.66511627907, 3296.0]","[61007.344186046525, 100058.78139534887, 3296.0]",74101587832069509,74101587832087547,648518346481678013,648518346494774179
5480,1388555,735491,18185713,18142237,[ 60025.55348837 101519.36046512   3169.        ],[ 60000.55348837 101455.3627907    3169.        ],"[59980.91046511629, 101545.08139534887, 3169.0]","[59955.71395348839, 101478.9511627907, 3169.0]",74101656484490848,74101656484460936,648518346496208247,648518346494774179
5481,1388570,735491,18185718,18185717,[ 61437.75348837 110573.00930233   2955.        ],[ 61559.25581395 110803.83023256   2955.        ],"[61448.506976744204, 110662.51860465118, 2955.0]","[61573.517441860466, 110888.7406976744, 2955.0]",74172368758507187,74172368758518201,648518346501741897,648518346494774179
5482,1388591,735491,18185724,18185723,[ 58958.85581395 105038.77209302   2617.        ],[ 59131.35581395 105052.2744186    2617.        ],"[58933.56744186046, 105084.06627906978, 2617.0]","[59109.81744186046, 105093.07325581399, 2617.0]",74031424910731895,74031424910749484,648518346511876543,648518346494774179
5483,1388623,735491,18185732,18185731,[ 63404.50697674 103189.75348837   2849.        ],[ 63480.12325581 103410.94418605   2849.        ],"[63381.52093023257, 103212.51046511628, 2849.0]","[63468.11976744188, 103438.33255813955, 2849.0]",74172093813761342,74172093813744706,648518346483855023,648518346494774179
5484,1388644,735491,18185737,17816873,[ 59343.74883721 103740.50232558   3131.        ],[ 59520.50232558 103824.75348837   3130.        ],"[59303.74534883723, 103807.50930232555, 3131.0]","[59479.256976744204, 103894.51046511628, 3130.0]",74031356459708239,74101725203845034,648518346483110846,648518346494774179
5485,1388660,735491,18185741,18143197,[ 63744.12790698 103547.62325581   2851.        ],[ 63590.13023256 103851.1255814    2851.        ],"[63741.005813953496, 103583.49651162792, 2851.0]","[63594.640697674426, 103883.12674418608, 2851.0]",74242462557919819,74242462557907674,648518346489559639,648518346494774179
5486,1388676,735491,18185745,17917720,[ 63969.01162791 107443.74418605   2859.        ],[ 63871.00930233 107561.24186047   2859.        ],"[63947.28488372093, 107465.98255813951, 2859.0]","[63848.76860465118, 107583.48372093026, 2859.0]",74242599996868307,74242599996854595,648518346489559639,648518346494774179
5487,1388692,735491,18185749,15887494,[ 61763.00930233 111557.           2789.        ],[ 61620.00697674 111553.74883721   2789.        ],"[61774.768604651166, 111622.25, 2789.0]","[61632.77093023259, 111616.24651162792, 2789.0]",74172368624704565,74172368624714459,648518346490237905,648518346494774179
5488,1388733,735491,18185758,18093453,[ 47856.90697674 103052.17209302   2531.        ],[ 47762.90697674 103283.66976744   2531.        ],"[47883.72093023257, 103089.01627906981, 2531.0]","[47787.81395348838, 103313.33953488374, 2531.0]",73679512403332052,73679512403351526,648518346494403861,648518346494774179
5489,1388744,735491,18185761,17766021,[50719.00465116 92425.01395349  2221.        ],[50845.00697674 92507.52093023  2221.        ],"[50672.763953488386, 92435.54186046513, 2221.0]","[50794.52093023257, 92517.8127906977, 2221.0]",73749537415824473,73749537415806164,648518346490237905,648518346494774179
5490,1388785,735491,18185770,18103267,[56101.75116279 96401.30232558  3460.        ],[55997.75116279 96574.92093023  3460.        ],"[56106.7523255814, 96347.35465116278, 3460.0]","[56002.0034883721, 96521.01279069768, 3460.0]",73960781691550108,73960781691462571,648518346496046141,648518346494774179
5491,1388796,735491,18185773,17773449,[52810.75116279 97469.49767442  3415.        ],[52600.75116279 97485.25581395  3415.        ],"[52811.5023255814, 97462.24534883723, 3415.0]","[52596.5023255814, 97476.76162790696, 3415.0]",73820044202992432,73820044202992479,648518346497122476,648518346494774179
5492,1388817,735491,18185779,18185778,[54713.37906977 96493.64186047  3444.        ],[54721.6        96578.79069767  3444.        ],"[54710.25813953488, 96463.78372093022, 3444.0]","[54718.55000000002, 96547.37209302328, 3444.0]",73890412947225125,73890412947239573,648518346492130066,648518346494774179
5493,1388853,735491,18185787,18136833,[51757.1255814  93339.94883721  2874.        ],[51676.1255814  93456.44651163  2873.        ],"[51713.75116279071, 93360.14767441864, 2874.0]","[51635.75116279069, 93473.3930232558, 2873.0]",73819906495572825,73819906495567922,648518346511876543,648518346494774179
5494,1388870,735491,18185792,17917439,[56158.25581395 94788.          2706.        ],[56307.25581395 94705.50232558  2706.        ],"[56158.517441860466, 94748.75000000004, 2706.0]","[56313.51744186049, 94668.25697674416, 2706.0]",73960712636161089,73960712636152029,648518346498203730,648518346494774179
